연도,월,분기,청코드,내외항구분,수출입구분명,시설코드,시설명,부두구분명,아외국구분,적공구분,컨테이너수(10피트),컨테이너수(20피트),컨테이너수(40피트),컨테이너수(기타),전체개수,전체물동량
2024,10,4,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,1051,1330,0,2381,3711
2024,10,4,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,1231,833,26,2090,2955.5
2024,02,1,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,0,9,0,9,18
2024,02,1,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,16,9,0,25,34
2024,02,1,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,2647,2209,0,4856,7065
2024,02,1,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,1675,1626,0,3301,4927
2024,11,4,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,12,4,0,16,20
2024,11,4,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,10,39,0,49,88
2024,11,4,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,1523,1692,0,3215,4907
2024,11,4,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,1138,924,50,2112,3098.5
2024,09,3,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,686,1214,40,1940,3204
2024,09,3,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,1071,792,54,1917,2776.5
2024,09,3,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,18,4,0,22,26
2024,09,3,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,25,0,0,25,25
2024,12,4,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,54,1,0,55,56
2024,12,4,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,80,15,0,95,110
2024,12,4,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,1402,1598,0,3000,4598
2024,12,4,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,2278,1042,17,3337,4400.25
2024,01,1,북항,외항,수출환적,31,신감만부두,컨테이너부두,외국선,공컨,0,33,21,0,54,75
2024,01,1,북항,외항,수입환적,31,신감만부두,컨테이너부두,외국선,공컨,0,38,404,0,442,846
2024,01,1,북항,외항,수출,31,신감만부두,컨테이너부두,외국선,공컨,0,3533,2301,0,5834,8135
2024,01,1,북항,외항,수입,31,신감만부두,컨테이너부두,외국선,공컨,0,1508,1128,1,2637,3766.25
2024,06,2,북항,외항,수출,29,신국제여객터미널,일반부두,아국선,적컨,29,365,353,0,747,1085.5
2024,06,2,북항,외항,수입,29,신국제여객터미널,일반부두,아국선,적컨,57,286,473,0,816,1260.5
2024,11,4,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,86,356,0,442,798
2024,11,4,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,23,40,0,63,103
2024,11,4,북항,외항,수출,29,신국제여객터미널,일반부두,아국선,적컨,40,273,312,0,625,917
2024,07,3,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,88,253,0,341,594
2024,07,3,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,26,20,0,46,66
2024,07,3,북항,외항,수출,29,신국제여객터미널,일반부두,아국선,적컨,58,416,390,0,864,1225
2024,07,3,북항,외항,수입,29,신국제여객터미널,일반부두,아국선,적컨,77,269,456,0,802,1219.5
2024,11,4,북항,외항,수입,29,신국제여객터미널,일반부두,아국선,적컨,50,257,429,0,736,1140
2024,05,2,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,45,210,0,255,465
2024,05,2,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,21,30,0,51,81
2024,09,3,북항,외항,수출,29,신국제여객터미널,일반부두,아국선,적컨,33,248,232,0,513,728.5
2024,09,3,북항,외항,수입,29,신국제여객터미널,일반부두,아국선,적컨,57,234,466,0,757,1194.5
2024,09,3,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,87,459,0,546,1005
2024,09,3,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,27,21,0,48,69
2024,12,4,북항,외항,수출환적,29,신국제여객터미널,일반부두,아국선,적컨,0,138,398,0,536,934
2024,12,4,북항,외항,수입환적,29,신국제여객터미널,일반부두,아국선,적컨,0,38,56,0,94,150
2024,12,4,북항,외항,수출,29,신국제여객터미널,일반부두,아국선,적컨,61,260,254,0,575,798.5
